OBJECTID,Lease or Claim Name,Lease or Claim Type,Commodity,Stock Raising Homestead Act,MLRS Casefile Number,Casefile Number,Case Type,BLM Administrative Unit,GIS Acres,GLOBALID,Shape__Area,Shape__Length
3084,AA 146,LodeClaim,UN,U,OR101881710,ORMC158296,384101,ORL00,324.20954595,11d785e9-9ada-43ce-a238-baa45487183e,0.000143225569900096,0.048848687956289
3085,AA 147,LodeClaim,UN,U,OR101881711,ORMC158297,384101,ORL00,161.54543137,85e75e80-24f8-43cb-a1f5-828648e21113,7.13697618266451E-05,0.0341801525191763
3086,AA 148,LodeClaim,UN,U,OR101881712,ORMC158298,384101,ORL00,324.20954595,0ef07fec-18a3-4658-8a55-7fb8c2054ffc,0.000143225569900096,0.048848687956289
3087,2 STAMP,PlacerClaim,UN,U,OR101734403,ORMC160264,384201,ORV00,165.30495866,e664360e-eb1b-467c-84c8-5914d64bfe93,7.57774000703648E-05,0.035616508749666
3088,FALLEN TREE,LodeClaim,UN,U,OR101740041,ORMC160278,384101,ORP00,149.7248522,77660c80-0775-404c-a0db-1c527b4e515b,6.8530880525941E-05,0.0337538510229877
3089,BUD PLACER I,PlacerClaim,UN,U,OR101851251,ORMC160286,384201,ORN00,158.98165279,c7524c77-f0f4-4085-93b5-8af92e650354,7.17588145562331E-05,0.0341409488304885
3090,PC 25,LodeClaim,UN,U,OR101870092,ORMC175961,384101,ORV00,160.21690195,efff428a-04ef-485f-9cac-578d96887ac5,7.33864776520932E-05,0.0347459582651414
3091,T AND T MINING,PlacerClaim,UN,U,OR101312902,ORMC160312,384201,ORW00,161.77318218,5bbfdd90-ced8-4973-a2a3-02575f1d5935,7.76937013142742E-05,0.035900148689774
3092,PC 26,LodeClaim,UN,U,OR101870093,ORMC175962,384101,ORV00,160.04774073,0c356031-0865-4a75-a809-f8f5588c21ce,7.3309211529704E-05,0.0347305509919071
3093,PC 27,LodeClaim,UN,U,OR101870094,ORMC175963,384101,ORV00,160.04774073,249bf0f6-ed38-406e-ab83-3464a4081028,7.3309211529704E-05,0.0347305509919071
3094,PC 28,LodeClaim,UN,U,OR101870095,ORMC175964,384101,ORV00,160.04774073,0929dacf-661a-483c-81f0-0e6fcd8e97ae,7.3309211529704E-05,0.0347305509919071
3095,MISSING LINK #1,LodeClaim,UN,U,OR101512954,ORMC160347,384101,ORW00,162.25829945,127c144c-5594-4886-89d7-a9f19aa6bb0d,7.7952687661309E-05,0.0359286286329203
3096,PC 29,LodeClaim,UN,U,OR101551129,ORMC175965,384101,ORV00,160.04774073,bd4cc4dc-882f-49c2-940e-4fdf85648443,7.3309211529704E-05,0.0347305509919071
3097,PC 29,LodeClaim,UN,U,OR101551129,ORMC175965,384101,ORV00,156.58122542,dac5e1db-2188-41e1-b676-d312cb4d3d81,7.1721616677678E-05,0.0343293492327201
3098,LODE CLAIM,LodeClaim,UN,U,OR101473018,ORMC155919,384101,ORV00,341.00146957,2286d08b-c4d1-4eae-b577-f31f1f0749a3,0.00015412966877193,0.0502491674662697
3099,LODE CLAIM,LodeClaim,UN,U,OR101473019,ORMC155920,384101,ORV00,331.42305059,c934d9b2-f6f5-4417-a73d-4b1f70656bac,0.000149791533203825,0.0558544632051724
3100,WINTER #3,LodeClaim,UN,U,OR101473020,ORMC155921,384101,ORV00,160.11306763,233d3d85-99a6-43cf-adb3-706f0a412dfe,7.23741359252017E-05,0.0344820228777689
3101,WINTER #4,LodeClaim,UN,U,OR101473021,ORMC155922,384101,ORV00,170.17196881,f4140086-afa5-4193-b733-1c870ba9826b,7.69208259043808E-05,0.0357313111658596
3102,WINTER #5,LodeClaim,UN,U,OR101473022,ORMC155923,384101,ORV00,160.11306763,b7915255-5599-4a16-a9d7-53576e4b6add,7.23741359252017E-05,0.0344820228777689
3103,WINTER #6,LodeClaim,UN,U,OR101473023,ORMC155924,384101,ORV00,170.17196881,1d604475-5bf8-49e5-8937-d30a87d0f30f,7.69208259043808E-05,0.0357313111658596
3104,WINTER #7,LodeClaim,UN,U,OR101473024,ORMC155925,384101,ORV00,160.11306763,8bfcba1d-4122-46e3-a5bc-f66a9b8a2485,7.23741359252017E-05,0.0344820228777689
3105,LODE CLAIM,LodeClaim,UN,U,OR101473025,ORMC155926,384101,ORV00,320.70661746,072921df-721d-4d71-a6ac-b513d203bccd,0.000144956826261478,0.0489710657134762
3106,NARLEY CANYON,PlacerClaim,UN,U,OR101474028,ORMC155948,384201,ORW00,160.33401045,c5700447-142e-49c0-8e2f-ea300b0da01f,7.56679119149339E-05,0.0353851691415329
3107,MOONSHINE,LodeClaim,UN,U,OR101474035,ORMC155967,384101,ORV00,641.37890476,2b96eaea-33df-4d82-bf25-9dd7c3d658b7,0.000287773694253701,0.0687291845578432
3108,BOSCO,LodeClaim,UN,U,OR101476841,ORMC155986,384101,ORB00,333.77371168,a89d0730-2828-4a21-a1b0-2fd2f4eb6fc7,0.00015117795965125,0.0498570980889829
3109,LODE CLAIM,LodeClaim,UN,U,OR101476842,ORMC155987,384101,ORB00,329.17062718,23115d01-58c8-47ba-a82d-e0f6dfc05796,0.000149102819250402,0.0556019847992321
3110,SIR TALKS-ALOT,LodeClaim,UN,U,OR101475071,ORMC156032,384101,ORB00,333.77371168,65aa2711-ef06-40a6-b152-026d29589b3a,0.00015117795965125,0.0498570980889829
